_id,overall_stats.avg_battle_values.avg_shoot_down
1000089688,1.25
1000089715,1.76
1000089729,0.87
1000089780,2.21
1000089808,10.31
1000089855,2.53
1000089919,0.72
1000089934,0.9
1000089952,0.75
1000089978,0.51
1000089993,0.84
1000090007,1
1000090090,0.7
1000090157,1.9
1000090185,1.84
1000090478,0.59
1000090745,1.07
1000090952,1.87
1000090972,1.12
1000090990,1.1
1000091081,2.41
1000091207,1.25
1000091214,1.07
1000091230,4.29
1000091328,0.96
1000091393,1.93
1000091402,1.51
1000091495,2.95
1000091740,2.07
1000091793,1.78
1000091797,1.26
1000091827,1.13
1000091844,2.13
1000091982,6.3
1000092114,1.76
1000092593,3.4
1000092695,1.45
1000092730,4.01
1000092835,1.12
1000092855,2.6
1000092917,2.43
1000092925,1.57
1000092931,1.12
1000092939,1.96
1000092945,2.1
1000093019,2.13
1000093027,1.63
1000093048,1.49
1000093068,3.09
1000093135,0.57
1000093167,1.6
1000093190,1.44
1000093218,0.86
1000093256,1.26
1000093262,1.63
1000093475,1.96
1000093515,2.01
1000093595,0.24
1000093835,0.34
1000093951,1.51
1000094070,0.96
1000094117,1.79
1000094202,1.61
1000094315,1.16
1000094336,1.85
1000094349,1.11
1000094351,4.22
1000094372,2.41
1000094424,1.68
1000094438,1.56
1000094527,0.69
1000094877,2.31
1000095014,1.71
1000095286,2.86
1000095437,1.07
1000095454,1.35
1000095527,1.25
1000095660,1.31
1000095823,1.77
1000095852,0.65
1000095872,0.81
1000095923,1.9
1000095926,1.1
1000095971,1.1
1000096101,2.8
1000096124,0.84
1000096153,3.78
1000096155,1.73
1000096163,0.9
1000096189,1.12
1000096192,1.81
1000096199,1.14
1000096212,1.78
1000096232,0.82
1000096303,0.28
1000096498,2.26
1000096546,1.48
1000096719,1.69
1000097101,2.41
1000097315,0.79
1000097380,1.33
1000097382,1.88
1000097524,0.89
1000097777,0.84
1000097858,1.07
1000097929,1.06
1000098061,2.03
1000098068,1.29
1000098085,1.32
1000098152,0.81
1000098209,1.49
1000098294,2.14
1000098362,1.4
1000098421,2.63
1000098469,2.78
1000098470,2.52
1000098533,1.74
1000098702,2.15
1000098771,0.92
1000098796,2.01
1000098840,0.66
1000098927,1.39
1000099309,1.75
1000099356,0.65
1000099502,2.22
1000099540,1.88
1000099640,1.48
1000099681,1.33
1000099760,0.88
1000099831,1.39
1000099856,1.5
1000099864,1.23
1000100001,2.25
1000100024,1.23
1000100095,0.56
1000100149,0.97
1000100184,1.26
1000100186,2.38
1000100187,0.8
1000100245,0.56
1000100252,0.94
1000100281,1.66
1000100336,0.68
1000100346,2.03
1000100347,3.46
1000100351,2.01
1000100405,3.46
1000100477,6.83
1000100485,3.07
1000100493,2.35
1000100526,1.24
1000100550,0.89
1000100570,0.73
1000100596,1.67
1000100619,0.79
1000100664,0.89
1000100741,1.92
1000100784,1.63
1000100790,1.93
1000100808,0.89
1000100826,0.83
1000100850,0.92
1000100868,1.35
1000100871,1.33
1000100893,1.11
1000100931,1.25
1000101006,0.85
1000101053,4.98
1000101172,3.27
1000101276,0.95
1000101578,1.52
1000101588,1.11
1000101839,2.59
1000102034,6.71
1000102063,1.69
1000102073,3.77
1000102148,0.52
1000102244,0.83
1000102301,2.58
1000102562,4.25
1000102622,1.12
1000102664,2.66
1000102670,1.38
1000102977,1.09
1000103040,1.32
1000103055,1.45
1000103111,0.66
1000103266,1.96
1000103523,1.06
1000103648,2.57
1000103664,1.95
1000103763,0.77
1000103915,1.77
1000103934,1.61
1000104066,3.06
1000104071,1.72
1000104228,1.8
1000104267,1.68
1000104284,1.72
1000104304,1.11
1000104385,0.46
1000104391,1.48
1000104400,0.97
1000104479,1.57
1000104517,0.68
1000104551,1.34
1000104874,1.47
1000104888,2.04
1000104901,1.42
1000104949,1.51
1000105051,2.85
1000105054,2.24
1000105144,1.03
1000105301,3.34
1000105420,0.88
1000105519,1.31
1000105595,6.63
1000105597,0.74
1000105635,1.5
1000105652,2.17
1000105672,3.47
1000105690,1.57
1000105704,1.15
1000106031,2.91
1000106045,6.97
1000106305,0.98
1000106337,1.14
1000106562,3.62
1000106575,2.21
1000106651,2.71
1000106666,1.37
1000106677,1.78
1000106702,3.48
1000106813,3.82
1000106900,1.98
1000107677,1.57
1000107694,1.16
1000107695,1.84
1000107769,1.3
1000108159,0.74
1000108489,2.06
1000108519,2.33
1000108541,0.5
1000108563,1.15
1000108592,2.6
1000108635,0.44
1000108757,1
1000108841,0.99
1000108862,1.1
1000108866,1.17
1000108952,5.4
1000108988,0.74
1000109124,1.22
1000109217,1.82
1000109248,1.4
1000109361,2.2
1000109451,1.45
1000109606,2.07
1000110166,1.09
1000110229,1.26
1000110292,1.32
1000110392,1.47
1000110496,2.16
1000110507,1.02
1000110642,2
1000110731,1.49
1000110768,1.93
1000110939,1.68
1000111043,0.66
1000111160,1.11
1000111460,0.42
1000111464,1.81
1000111575,1.54
1000111591,1.15
1000111611,3.32
1000111718,5.46
1000112170,1.96
1000112438,1.62
1000112450,1.5
1000112477,2.44
1000112620,1.58
1000113028,1.41
1000113064,2.63
1000113111,0.92
1000113510,1.87
1000113552,0.94
1000113563,1.77
1000113566,1.71
1000113614,1.41
1000113617,1.49
1000113946,0.69
1000113974,1.13
1000114066,0.93
1000114165,0.4
1000114250,1.04
1000114566,3.27
1000114575,2.31
1000114733,2.11
1000114917,1.39
1000115183,0.87
1000115477,1.15
1000115560,3.64
1000115573,1.45
1000115699,2.13
1000115768,0.87
1000115837,2.55
1000115861,1.84
1000115896,1.77
1000115902,1.89
1000116057,0.73
1000116503,0.67
1000116560,1.68
1000116599,0.93
1000116619,1.41
