_id,overall_stats.avg_battle_values.avg_dmg
1000109248,48642
1000109361,45377
1000109451,51696
1000109606,38256
1000110166,27351
1000110229,21876
1000110292,15748
1000110392,27537
1000110496,28604
1000110507,49422
1000110642,29913
1000110731,31865
1000110768,46813
1000110939,44260
1000111043,33697
1000111160,43154
1000111460,19874
1000111464,39719
1000111575,31874
1000111591,59636
1000111611,34033
1000111718,52496
1000112170,68586
1000112438,33361
1000112450,44508
1000112477,45726
1000112620,45414
1000113028,42771
1000113064,58563
1000113111,28859
1000113510,14787
1000113552,38136
1000113563,27749
1000113566,57306
1000113614,41434
1000113617,36965
1000113946,37964
1000113974,44883
1000114066,34422
1000114165,24109
1000114250,22544
1000114566,32027
1000114575,42442
1000114733,37620
1000114917,45989
1000115183,24891
1000115477,26868
1000115560,45641
1000115573,31300
1000115699,53182
1000115768,29997
1000115837,41217
1000115861,41550
1000115896,52809
1000115902,24333
1000116057,27032
1000116503,31464
1000116560,44033
1000116599,43023
1000116619,53613
1000116674,33080
1000116675,41813
1000116713,27097
1000116835,45336
1000116993,34188
1000117192,37474
1000117200,33156
1000117287,56924
1000117297,58688
1000117360,56054
1000117636,45234
1000117942,12942
1000118051,37603
1000118098,17711
1000118175,56723
1000118193,81649
1000118198,37921
1000118322,33257
1000118417,27706
1000118433,26353
1000118447,47239
1000118558,35020
1000118682,37825
1000118742,24314
1000119042,46074
1000119069,25966
1000119085,36100
1000119103,31086
1000119105,58913
1000119131,52504
1000119160,32577
1000119204,36505
1000119221,21174
1000119248,23755
1000119269,23097
1000119276,37407
1000119288,33922
1000119297,42527
1000119300,27368
1000119315,18357
1000119319,28220
1000119335,44207
1000119381,18646
1000119413,49774
1000119480,34259
1000119541,20433
1000119578,37626
1000119580,37924
1000119686,33848
1000119762,42120
1000120035,34682
1000120240,37554
1000120252,59205
1000120275,47681
1000120430,17257
1000120459,18423
1000120503,57562
1000120544,37629
1000120665,24822
1000120797,52266
1000120845,38689
1000121041,40579
1000121081,55868
1000121118,42808
1000121152,31100
1000121187,52178
1000121194,34206
1000121216,31164
1000121282,29819
1000121293,25090
1000121383,20590
1000121478,49621
1000121581,48532
1000121690,51593
1000121750,26405
1000121993,28546
1000122063,40776
1000122074,34884
1000122170,50547
1000122193,41235
1000122303,39674
1000122351,49351
1000122357,43035
1000122537,36627
1000122596,33284
1000122646,13992
1000122672,27331
1000122759,108070
1000122895,59378
1000122903,36592
1000123036,20191
1000123044,45404
1000123065,14628
1000123087,27709
1000123135,40412
1000123178,30420
1000123236,49214
1000123279,16348
1000123350,32826
1000123507,49190
1000123627,39146
1000124009,19866
1000124042,41018
1000124130,34154
1000124183,41294
1000124454,61935
1000124515,42120
1000124564,20359
1000124574,39510
1000124577,25868
1000124587,47441
1000124598,54918
1000124611,58896
1000124675,37399
1000124681,37653
1000124740,27575
1000124757,19425
1000124835,32115
1000125179,22556
1000125223,26189
1000125377,46101
1000125417,35400
1000125418,16038
1000125430,22613
1000125473,28647
1000125507,43615
1000125610,40041
1000125770,28145
1000125784,23103
1000125822,30714
1000125968,27821
1000126004,54853
1000126112,26984
1000126553,61223
1000126741,32606
1000126848,43526
1000126879,55699
1000126914,28402
1000127020,20801
1000127051,43782
1000127106,32748
1000127136,29078
1000127161,34995
1000127173,22788
1000127183,22386
1000127312,34923
1000127379,39538
1000127400,57062
1000127426,34247
1000127727,46413
1000128040,41741
1000128135,27321
1000128438,24340
1000128513,33592
1000128529,17985
1000128583,12127
1000128667,22105
1000128774,44386
1000128783,24920
1000128882,40854
1000128987,30103
1000129035,32727
1000129050,26349
1000129137,12510
1000129183,34839
1000129186,30038
1000129238,26201
1000129270,26538
1000129306,26875
1000129312,51691
1000129354,37869
1000129379,39366
1000129715,40215
1000130247,56552
1000130434,28644
1000130615,50384
1000130640,48173
1000130696,60081
1000130698,71478
1000130704,48748
1000130825,38941
1000130860,56706
1000130916,59227
1000130966,38371
1000131309,48189
1000131370,17369
1000131469,28308
1000131478,29403
1000131541,38200
1000131641,24128
1000131788,28457
1000132060,25971
1000132149,33664
1000132183,32559
1000132212,48400
1000132237,65857
1000132241,60342
1000132247,20174
1000132259,31594
1000132283,44876
1000132310,19868
1000132329,52349
1000132371,27482
1000132412,35308
1000132417,42273
1000132517,42451
1000132875,23438
1000132919,30870
1000133104,26288
1000133297,54375
1000133532,24368
1000133574,41747
1000133653,40247
1000133670,53041
1000133990,36814
1000134032,36370
1000134211,23534
1000134462,29251
1000134516,35796
