_id,overall_stats.battles
1030492200,2486
1030492231,1446
1030493047,589
1030493104,874
1030493202,274
1030493334,102
1030493723,121
1030493768,242
1030494143,5082
1030494421,549
1030494550,160
1030494954,664
1030495553,658
1030495756,1168
1030495864,6342
1030496273,876
1030496463,5306
1030497072,224
1030497112,978
1030497206,278
1030497730,3168
1030498281,4865
1030498615,160
1030499701,617
1030499706,3353
1030499999,955
1030500009,3523
1030500542,544
1030501030,4785
1030502279,444
1030502366,1129
1030502504,174
1030502895,1275
1030502925,16043
1030503344,188
1030503551,1659
1030503881,279
1030504196,3119
1030504264,6304
1030504723,176
1030504992,203
1030506817,746
1030507201,889
1030507256,219
1030508053,1076
1030508104,858
1030508413,701
1030508473,264
1030508680,1032
1030508715,3936
1030508783,1027
1030509203,739
1030509657,1019
1030509658,267
1030510222,301
1030510439,870
1030511083,841
1030511135,1519
1030511245,244
1030511535,229
1030513143,1644
1030513299,1914
1030513481,366
1030513690,3184
1030513799,1823
1030513984,387
1030514414,1541
1030514875,543
1030515242,138
1030515408,604
1030515531,286
1030515795,429
1030515801,487
1030515822,610
1030515928,723
1030515960,2057
1030516111,3474
1030516550,369
1030516723,1497
1030517141,3969
1030517482,5640
1030517674,4611
1030518212,1311
1030518428,238
1030519148,1568
1030519244,187
1030519295,144
1030519843,1346
1030520134,1228
1030520519,188
1030520643,417
1030520746,201
1030521212,1631
1030521527,3745
1030522180,379
1030522190,327
1030522226,177
1030522629,543
1030523048,106
1030523157,200
1030523447,174
1030523457,755
1030523506,666
1030523630,193
1030524026,393
1030524040,877
1030524203,1741
1030524252,1564
1030524274,2398
1030524420,1831
1030524648,5547
1030524985,327
1030525253,388
1030525263,5460
1030525657,1065
1030525762,516
1030526714,246
1030527530,554
1030527916,3037
1030527980,136
1030528042,477
1030528657,304
1030528735,1037
1030528783,544
1030528916,303
1030529134,1220
1030529264,174
1030529302,1166
1030529971,843
1030531545,1127
1030531559,10626
1030531715,859
1030531931,1879
1030532010,2735
1030532139,937
1030532385,978
1030532839,1310
1030533075,349
1030533400,570
1030533549,1330
1030533652,294
1030533889,852
1030534428,141
1030534525,5407
