_id,overall_stats.avg_battle_values.avg_frags
1000100784,0.7
1000100790,0.62
1000100808,1.03
1000100826,0.24
1000100850,0.76
1000100868,0.47
1000100871,0.79
1000100893,0.59
1000100931,0.57
1000101006,0.72
1000101053,1.24
1000101172,0.71
1000101276,1.15
1000101578,0.82
1000101588,0.74
1000101839,0.72
1000102034,0.86
1000102063,0.82
1000102073,0.71
1000102148,0.31
1000102244,0.62
1000102301,1.19
1000102562,0.84
1000102622,0.67
1000102664,0.46
1000102670,0.68
1000102977,0.82
1000103040,0.45
1000103055,1.27
1000103111,0.47
1000103266,0.73
1000103523,1.02
1000103648,1.02
1000103664,0.9
1000103763,0.9
1000103915,0.63
1000103934,0.81
1000104066,0.93
1000104071,0.55
1000104228,1.03
1000104267,1.36
1000104284,1.02
1000104304,0.47
1000104385,0.84
1000104391,0.7
1000104400,0.61
1000104479,0.86
1000104517,0.97
1000104551,0.92
1000104874,0.71
1000104888,1.15
1000104901,0.8
1000104949,0.89
1000105051,0.68
1000105054,1.13
1000105144,0.88
1000105301,0.66
1000105420,0.56
1000105519,0.82
1000105595,0.75
1000105597,0.38
1000105635,0.94
1000105652,1.45
1000105672,0.88
1000105690,1.02
1000105704,0.77
1000106031,0.65
1000106045,0.91
1000106305,0.7
1000106337,0.81
1000106562,1.37
1000106575,0.49
1000106651,0.74
1000106666,0.62
1000106677,0.32
1000106702,0.92
1000106813,1.01
1000106900,0.58
1000107677,0.67
1000107694,0.8
1000107695,0.22
1000107769,0.73
1000108159,0.87
1000108489,0.65
1000108519,0.94
1000108541,0.8
1000108563,0.56
1000108592,0.88
1000108635,0.77
1000108757,0.55
1000108841,0.54
1000108862,0.88
1000108866,0.9
1000108952,1.13
1000108988,0.54
1000109124,0.62
1000109217,0.68
1000109248,0.97
1000109361,0.77
1000109451,1.36
1000109606,0.88
1000110166,0.4
1000110229,0.73
1000110292,0.42
1000110392,0.53
1000110496,0.65
1000110507,0.8
1000110642,0.64
1000110731,0.61
1000110768,0.97
1000110939,0.88
1000111043,0.61
1000111160,0.68
1000111460,0.51
1000111464,0.7
1000111575,0.77
1000111591,1.12
1000111611,0.73
1000111718,0.82
1000112170,1.08
1000112438,0.66
1000112450,0.72
1000112477,0.99
1000112620,0.8
1000113028,0.7
1000113064,1.05
1000113111,0.61
1000113510,0.53
1000113552,0.79
1000113563,0.87
1000113566,0.94
1000113614,0.73
1000113617,1.01
1000113946,0.76
1000113974,1.09
1000114066,0.76
1000114165,0.58
1000114250,0.46
1000114566,0.95
1000114575,0.96
1000114733,0.69
1000114917,0.85
1000115183,0.59
1000115477,0.69
1000115560,0.78
1000115573,0.65
1000115699,0.86
1000115768,0.75
1000115837,0.69
1000115861,0.77
1000115896,0.78
1000115902,0.56
1000116057,0.8
1000116503,0.89
1000116560,1.11
1000116599,0.93
1000116619,0.94
1000116674,0.71
1000116675,0.72
1000116713,0.91
1000116835,0.88
1000116993,0.82
1000117192,0.69
1000117200,0.86
1000117287,0.85
1000117297,0.9
1000117360,1.2
1000117636,0.78
1000117942,0.36
1000118051,0.76
1000118098,0.47
1000118175,1.21
1000118193,1.38
1000118198,0.74
1000118322,0.86
1000118417,0.78
1000118433,0.43
1000118447,1.33
1000118558,0.74
1000118682,0.79
1000118742,0.54
1000119042,0.88
1000119069,0.47
1000119085,0.73
1000119103,0.61
1000119105,1.17
1000119131,0.94
1000119160,0.55
1000119204,0.86
