_id,overall_stats.avg_battle_values.avg_spot
1000087184,0.57
1000087239,1.91
1000087329,0.88
1000087342,0.85
1000087445,0.56
1000087487,0.55
1000087501,0.71
1000087507,1.51
1000087546,1.87
1000087584,0.71
1000087643,1
1000087796,0.82
1000087820,1.95
1000087953,0.97
1000088035,1.81
1000088108,1.32
1000088128,2.91
1000088201,0
1000088230,0.59
1000088303,0.87
1000088479,2.57
1000088505,1.64
1000088624,1.37
1000088670,0.48
1000088722,0.51
1000088764,1.45
1000088800,0.76
1000088899,1.23
1000089059,0.66
1000089139,1.5
1000089429,2.38
1000089492,1
1000089495,1.03
1000089652,0.7
1000089688,0.96
1000089715,0.82
1000089729,2.48
1000089780,1.47
1000089808,2.08
1000089855,0.87
1000089919,0.85
1000089934,0.87
1000089952,1.55
1000089978,0.4
1000089993,1.18
1000090007,1.5
1000090090,0.77
1000090157,0.78
1000090185,1.13
1000090478,0.87
1000090745,0.92
1000090952,1.36
1000090972,1.22
1000090990,1.09
1000091081,0.97
1000091207,0.97
1000091214,0.64
1000091230,0
1000091328,0.47
1000091393,0.64
1000091402,1.12
1000091495,0.58
1000091740,1.25
1000091793,1.1
1000091797,0.68
1000091827,1.47
1000091844,0.48
1000091982,2.21
1000092114,0.76
1000092593,2.29
1000092695,1.26
1000092730,2.08
1000092835,1.11
1000092855,1.78
1000092917,1.31
1000092925,0.99
1000092931,0.6
1000092939,1.74
1000092945,1.1
1000093019,0.95
1000093027,0.76
1000093048,0.72
1000093068,1.81
1000093135,7.25
1000093167,1.39
1000093190,0.94
1000093218,1.27
1000093256,1.55
1000093262,2.88
1000093475,1.67
1000093515,2.76
1000093595,2.68
1000093835,2.26
1000093951,1.32
1000094070,0.84
1000094117,0.67
1000094202,0.83
1000094315,1.91
1000094336,1.17
1000094349,1.25
1000094351,1.69
1000094372,1.12
1000094424,0.39
1000094438,0.65
1000094527,1.99
1000094877,0.95
1000095014,1
1000095286,1.53
1000095437,1.35
1000095454,0.38
1000095527,2.29
1000095660,0.74
1000095823,1.13
1000095852,0.63
1000095872,1
1000095923,2.05
1000095926,1.16
1000095971,1.51
1000096101,0.89
1000096124,0.72
1000096153,1.47
1000096155,0.6
1000096163,0.7
1000096189,0.61
1000096192,1.25
1000096199,0.21
1000096212,1.49
1000096232,0.53
1000096303,0.76
1000096498,1.03
1000096546,0.37
1000096719,1.68
1000097101,1.01
1000097315,1.25
1000097380,1.13
1000097382,0.41
1000097524,0.61
1000097777,0.38
1000097858,2.61
1000097929,1.35
1000098061,1.21
1000098068,1.22
1000098085,1.37
1000098152,0.38
1000098209,0.75
1000098294,1.49
1000098362,0
1000098421,2.02
1000098469,0.9
1000098470,1.73
1000098533,0.97
1000098702,1.28
1000098771,0.94
1000098796,1.55
1000098840,1.36
1000098927,0.46
1000099309,1.07
1000099356,0.65
1000099502,0.71
1000099540,1.74
1000099640,2.18
1000099681,0.86
1000099760,1.37
1000099831,1.11
1000099856,1.01
1000099864,0.82
1000100001,1.66
1000100024,0.71
1000100095,1.12
1000100149,0.33
1000100184,1.11
1000100186,1.14
1000100187,0.92
1000100245,1.58
1000100252,0.89
1000100281,0.81
1000100336,0.39
1000100346,1
1000100347,1.29
1000100351,1.4
1000100405,0.44
1000100477,2.9
1000100485,2.54
1000100493,0.7
1000100526,1.23
1000100550,1.59
1000100570,0.74
1000100596,0.66
1000100619,0.97
1000100664,1.76
1000100741,2.51
1000100784,0.37
1000100790,0.84
1000100808,0.82
1000100826,0.71
1000100850,0.42
1000100868,0.89
1000100871,0.89
1000100893,1.28
1000100931,0.96
1000101006,0.7
1000101053,1.03
1000101172,1.66
1000101276,1.27
1000101578,0.77
1000101588,1.03
1000101839,1.24
1000102034,2.72
1000102063,0.99
1000102073,1.97
1000102148,1.76
1000102244,1.26
1000102301,0.79
1000102562,1.88
1000102622,1.09
1000102664,1.04
1000102670,1.1
1000102977,0.76
1000103040,0.55
1000103055,0.39
1000103111,0.51
1000103266,1.29
1000103523,1.22
1000103648,0.84
1000103664,0.54
1000103763,2.04
1000103915,1.5
1000103934,1.17
1000104066,1.14
1000104071,1.56
1000104228,0.58
1000104267,1.52
1000104284,1.45
1000104304,0.9
1000104385,0.45
1000104391,0.62
1000104400,1.05
1000104479,0.86
1000104517,1.27
1000104551,0.71
1000104874,1.35
1000104888,0.54
1000104901,0.62
1000104949,0.78
1000105051,1.72
1000105054,0.6
1000105144,0.82
1000105301,0.8
1000105420,1.56
1000105519,0.97
1000105595,2.8
1000105597,0.57
1000105635,1.06
1000105652,0
1000105672,1.51
1000105690,0.87
1000105704,0.99
1000106031,1.44
1000106045,1.16
1000106305,1.59
1000106337,0.42
1000106562,1.58
1000106575,0.89
1000106651,0.97
1000106666,0.8
1000106677,1.04
1000106702,1.92
1000106813,1.76
1000106900,2.13
1000107677,1.66
1000107694,0.78
1000107695,2.57
1000107769,0.95
1000108159,0.5
1000108489,0.74
1000108519,1.4
1000108541,1.38
1000108563,0.72
1000108592,2.66
1000108635,1.71
1000108757,2.32
1000108841,1.02
1000108862,1.17
1000108866,0.47
1000108952,7.81
1000108988,0.15
1000109124,0.32
1000109217,1.09
1000109248,0.91
1000109361,2.08
1000109451,0.68
1000109606,1.95
1000110166,1.5
1000110229,2.38
1000110292,1.87
1000110392,1.44
1000110496,1.49
1000110507,1.68
1000110642,0.47
1000110731,0.92
1000110768,1.08
1000110939,0.93
1000111043,1.47
1000111160,0.61
1000111460,2.01
1000111464,1.01
1000111575,1.43
1000111591,0.48
1000111611,1.37
1000111718,1.87
1000112170,0.83
1000112438,1.22
1000112450,1.04
1000112477,1.58
1000112620,0.52
1000113028,0.85
1000113064,1.36
